arabic_word,normalized_arabic,phonetic_word,simple_latin
ٱللَّهَ,الله,Allaha,allh
مَعَ,مع,maAAa,ma
ٱلْمُؤْمِنِينَ,المومنين,almumineena,almwmnyn
وَلَا,ولا,Wala,wla
تَكُونُوا,تكونوا,takoonoo,tkwnwa
كَٱلَّذِينَ,كالذين,kaallatheena,kaldhyn
قَالُوا,قالوا,qaloo,qalwa
سَمِعْنَا,سمعنا,samiAAna,smana
وَهُمْ,وهم,wahum,whm
لَا,لا,la,la
يَسْمَعُونَ,يسمعون,yasmaAAoona,ysmawn
إِنَّ,ان,Inna,an
شَرَّ,شر,sharra,shr
ٱلدَّوَآبِّ,الدواب,alddawabbi,aldwab
عِندَ,عند,AAinda,and
ٱللَّهِ,الله,Allahi,allh
ٱلصُّمُّ,الصم,alssummu,alsm
ٱلْبُكْمُ,البكم,albukmu,albkm
ٱلَّذِينَ,الذين,allatheena,aldhyn
لَا,لا,la,la
يَعْقِلُونَ,يعقلون,yaAAqiloona,yaqlwn
وَلَوْ,ولو,Walaw,wlw
عَلِمَ,علم,AAalima,alm
ٱللَّهُ,الله,Allahu,allh
فِيهِمْ,فيهم,feehim,fyhm
خَيْرًا,خيرا,khayran,khyra
لَّأَسْمَعَهُمْ,لاسمعهم,laasmaAAahum,lasmahm
وَلَوْ,ولو,walaw,wlw
أَسْمَعَهُمْ,اسمعهم,asmaAAahum,asmahm
لَتَوَلَّوا,لتولوا,latawallaw,ltwlwa
وَّهُم,وهم,wahum,whm
مُّعْرِضُونَ,معرضون,muAAridoona,mardwn
وَٱتَّقُوا,واتقوا,Waittaqoo,watqwa
فِتْنَةً,فتنه,fitnatan,ftnh
لَّا,لا,la,la
تُصِيبَنَّ,تصيبن,tuseebanna,tsybn
ٱلَّذِينَ,الذين,allatheena,aldhyn
ظَلَمُوا,ظلموا,thalamoo,zlmwa
مِنكُمْ,منكم,minkum,mnkm
خَآصَّةً,خاصه,khassatan,khash
وَٱعْلَمُوٓا,واعلموا,waiAAlamoo,waalmwa
أَنَّ,ان,anna,an
ٱللَّهَ,الله,Allaha,allh
شَدِيدُ,شديد,shadeedu,shdyd
ٱلْعِقَابِ,العقاب,alAAiqabi,alaqab
وَٱذْكُرُوٓا,واذكروا,Waothkuroo,wadhkrwa
إِذْ,اذ,ith,adh
أَنتُمْ,انتم,antum,antm
قَلِيلٌ,قليل,qaleelun,qlyl
مُّسْتَضْعَفُونَ,مستضعفون,mustadAAafoona,mstdafwn
فِى,في,fee,fy
ٱلْأَرْضِ,الارض,alardi,alard
تَخَافُونَ,تخافون,takhafoona,tkhafwn
أَن,ان,an,an
يَتَخَطَّفَكُمُ,يتخطفكم,yatakhattafakumu,ytkhtfkm
ٱلنَّاسُ,الناس,alnnasu,alnas
فَـَٔاوَىٰكُمْ,فاوياكم,faawakum,fawyakm
وَأَيَّدَكُم,وايدكم,waayyadakum,waydkm
بِنَصْرِهِ,بنصره,binasrihi,bnsrh
وَرَزَقَكُم,ورزقكم,warazaqakum,wrzqkm
مِّنَ,من,mina,mn
ٱلطَّيِّبَٰتِ,الطيبات,alttayyibati,altybat
لَعَلَّكُمْ,لعلكم,laAAallakum,lalkm
تَشْكُرُونَ,تشكرون,tashkuroona,tshkrwn
وَٱعْلَمُوٓا,واعلموا,WaiAAlamoo,waalmwa
أَنَّمَآ,انما,annama,anma
أَمْوَٰلُكُمْ,اموالكم,amwalukum,amwalkm
وَأَوْلَٰدُكُمْ,واولادكم,waawladukum,wawladkm
فِتْنَةٌ,فتنه,fitnatun,ftnh
وَأَنَّ,وان,waanna,wan
ٱللَّهَ,الله,Allaha,allh
عِندَهُٓ,عنده,AAindahu,andh
أَجْرٌ,اجر,ajrun,ajr
عَظِيمٌ,عظيم,AAatheemun,azym
وَإِذْ,واذ,Waith,wadh
يَمْكُرُ,يمكر,yamkuru,ymkr
بِكَ,بك,bika,bk
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
لِيُثْبِتُوكَ,ليثبتوك,liyuthbitooka,lythbtwk
أَوْ,او,aw,aw
يَقْتُلُوكَ,يقتلوك,yaqtulooka,yqtlwk
أَوْ,او,aw,aw
يُخْرِجُوكَ,يخرجوك,yukhrijooka,ykhrjwk
وَيَمْكُرُونَ,ويمكرون,wayamkuroona,wymkrwn
وَيَمْكُرُ,ويمكر,wayamkuru,wymkr
ٱللَّهُ,الله,Allahu,allh
وَٱللَّهُ,والله,waAllahu,wallh
خَيْرُ,خير,khayru,khyr
ٱلْمَٰكِرِينَ,الماكرين,almakireena,almakryn
وَإِذَا,واذا,Waitha,wadha
تُتْلَىٰ,تتليا,tutla,ttlya
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
ءَايَٰتُنَا,ءاياتنا,ayatuna,aayatna
قَالُوا,قالوا,qaloo,qalwa
قَدْ,قد,qad,qd
سَمِعْنَا,سمعنا,samiAAna,smana
لَوْ,لو,law,lw
نَشَآءُ,نشاء,nashao,nshaa
لَقُلْنَا,لقلنا,laqulna,lqlna
مِثْلَ,مثل,mithla,mthl
هَٰذَآ,هاذا,hatha,hadha
إِنْ,ان,in,an
هَٰذَآ,هاذا,hatha,hadha
إِلَّآ,الا,illa,ala
أَسَٰطِيرُ,اساطير,asateeru,asatyr
ٱلْأَوَّلِينَ,الاولين,alawwaleena,alawlyn
وَإِذْ,واذ,Waith,wadh
قَالُوا,قالوا,qaloo,qalwa
ٱللَّهُمَّ,اللهم,allahumma,allhm
إِن,ان,in,an
كَانَ,كان,kana,kan
هَٰذَا,هاذا,hatha,hadha
هُوَ,هو,huwa,hw
ٱلْحَقَّ,الحق,alhaqqa,alhq
مِنْ,من,min,mn
عِندِكَ,عندك,AAindika,andk
فَأَمْطِرْ,فامطر,faamtir,famtr
عَلَيْنَا,علينا,AAalayna,alyna
حِجَارَةً,حجاره,hijaratan,hjarh
مِّنَ,من,mina,mn
ٱلسَّمَآءِ,السماء,alssamai,alsmaa
أَوِ,او,awi,aw
ٱئْتِنَا,ايتنا,itina,aytna
بِعَذَابٍ,بعذاب,biAAathabin,badhab
أَلِيمٍ,اليم,aleemin,alym
وَمَا,وما,Wama,wma
كَانَ,كان,kana,kan
ٱللَّهُ,الله,Allahu,allh
لِيُعَذِّبَهُمْ,ليعذبهم,liyuAAaththibahum,lyadhbhm
وَأَنتَ,وانت,waanta,want
فِيهِمْ,فيهم,feehim,fyhm
وَمَا,وما,wama,wma
كَانَ,كان,kana,kan
ٱللَّهُ,الله,Allahu,allh
مُعَذِّبَهُمْ,معذبهم,muAAaththibahum,madhbhm
وَهُمْ,وهم,wahum,whm
يَسْتَغْفِرُونَ,يستغفرون,yastaghfiroona,ystghfrwn
وَمَا,وما,Wama,wma
لَهُمْ,لهم,lahum,lhm
أَلَّا,الا,alla,ala
يُعَذِّبَهُمُ,يعذبهم,yuAAaththibahumu,yadhbhm
ٱللَّهُ,الله,Allahu,allh
وَهُمْ,وهم,wahum,whm
يَصُدُّونَ,يصدون,yasuddoona,ysdwn
عَنِ,عن,AAani,an
ٱلْمَسْجِدِ,المسجد,almasjidi,almsjd
ٱلْحَرَامِ,الحرام,alharami,alhram
وَمَا,وما,wama,wma
كَانُوٓا,كانوا,kanoo,kanwa
أَوْلِيَآءَهُٓ,اولياءه,awliyaahu,awlyaah
إِنْ,ان,in,an
أَوْلِيَآؤُهُٓ,اولياوه,awliyaohu,awlyawh
إِلَّا,الا,illa,ala
ٱلْمُتَّقُونَ,المتقون,almuttaqoona,almtqwn
وَلَٰكِنَّ,ولاكن,walakinna,wlakn
أَكْثَرَهُمْ,اكثرهم,aktharahum,akthrhm
لَا,لا,la,la
يَعْلَمُونَ,يعلمون,yaAAlamoona,yalmwn
وَمَا,وما,Wama,wma
كَانَ,كان,kana,kan
صَلَاتُهُمْ,صلاتهم,salatuhum,slathm
عِندَ,عند,AAinda,and
ٱلْبَيْتِ,البيت,albayti,albyt
إِلَّا,الا,illa,ala
مُكَآءً,مكاء,mukaan,mkaa
وَتَصْدِيَةً,وتصديه,watasdiyatan,wtsdyh
فَذُوقُوا,فذوقوا,fathooqoo,fdhwqwa
ٱلْعَذَابَ,العذاب,alAAathaba,aladhab
بِمَا,بما,bima,bma
كُنتُمْ,كنتم,kuntum,kntm
تَكْفُرُونَ,تكفرون,takfuroona,tkfrwn
إِنَّ,ان,Inna,an
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
يُنفِقُونَ,ينفقون,yunfiqoona,ynfqwn
أَمْوَٰلَهُمْ,اموالهم,amwalahum,amwalhm
لِيَصُدُّوا,ليصدوا,liyasuddoo,lysdwa
عَن,عن,AAan,an
سَبِيلِ,سبيل,sabeeli,sbyl
ٱللَّهِ,الله,Allahi,allh
فَسَيُنفِقُونَهَا,فسينفقونها,fasayunfiqoonaha,fsynfqwnha
ثُمَّ,ثم,thumma,thm
تَكُونُ,تكون,takoonu,tkwn
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
حَسْرَةً,حسره,hasratan,hsrh
ثُمَّ,ثم,thumma,thm
يُغْلَبُونَ,يغلبون,yughlaboona,yghlbwn
وَٱلَّذِينَ,والذين,waallatheena,waldhyn
كَفَرُوٓا,كفروا,kafaroo,kfrwa
إِلَىٰ,اليا,ila,alya
جَهَنَّمَ,جهنم,jahannama,jhnm
يُحْشَرُونَ,يحشرون,yuhsharoona,yhshrwn
لِيَمِيزَ,ليميز,Liyameeza,lymyz
ٱللَّهُ,الله,Allahu,allh
ٱلْخَبِيثَ,الخبيث,alkhabeetha,alkhbyth
مِنَ,من,mina,mn
ٱلطَّيِّبِ,الطيب,alttayyibi,altyb
وَيَجْعَلَ,ويجعل,wayajAAala,wyjal
ٱلْخَبِيثَ,الخبيث,alkhabeetha,alkhbyth
بَعْضَهُ,بعضه,baAAdahu,badh
عَلَىٰ,عليا,AAala,alya
بَعْضٍ,بعض,baAAdin,bad
فَيَرْكُمَهُ,فيركمه,fayarkumahu,fyrkmh
جَمِيعًا,جميعا,jameeAAan,jmyaa
فَيَجْعَلَهُ,فيجعله,fayajAAalahu,fyjalh
فِى,في,fee,fy
جَهَنَّمَ,جهنم,jahannama,jhnm
أُولَٰٓئِكَ,اولايك,olaika,awlayk
هُمُ,هم,humu,hm
ٱلْخَٰسِرُونَ,الخاسرون,alkhasiroona,alkhasrwn
قُل,قل,Qul,ql
لِّلَّذِينَ,للذين,lillatheena,lldhyn
كَفَرُوٓا,كفروا,kafaroo,kfrwa
إِن,ان,in,an
يَنتَهُوا,ينتهوا,yantahoo,ynthwa
يُغْفَرْ,يغفر,yughfar,yghfr
لَهُم,لهم,lahum,lhm
مَّا,ما,ma,ma
قَدْ,قد,qad,qd
سَلَفَ,سلف,salafa,slf
وَإِن,وان,wain,wan
يَعُودُوا,يعودوا,yaAAoodoo,yawdwa
فَقَدْ,فقد,faqad,fqd
مَضَتْ,مضت,madat,mdt
سُنَّتُ,سنت,sunnatu,snt
ٱلْأَوَّلِينَ,الاولين,alawwaleena,alawlyn
وَقَٰتِلُوهُمْ,وقاتلوهم,Waqatiloohum,wqatlwhm
حَتَّىٰ,حتيا,hatta,htya
لَا,لا,la,la
تَكُونَ,تكون,takoona,tkwn
فِتْنَةٌ,فتنه,fitnatun,ftnh
وَيَكُونَ,ويكون,wayakoona,wykwn
ٱلدِّينُ,الدين,alddeenu,aldyn
كُلُّهُ,كله,kulluhu,klh
لِلَّهِ,لله,lillahi,llh
فَإِنِ,فان,faini,fan
ٱنتَهَوْا,انتهوا,intahaw,anthwa
فَإِنَّ,فان,fainna,fan
ٱللَّهَ,الله,Allaha,allh
بِمَا,بما,bima,bma
يَعْمَلُونَ,يعملون,yaAAmaloona,yamlwn
بَصِيرٌ,بصير,baseerun,bsyr
وَإِن,وان,Wain,wan
تَوَلَّوْا,تولوا,tawallaw,twlwa
فَٱعْلَمُوٓا,فاعلموا,faiAAlamoo,faalmwa
أَنَّ,ان,anna,an
ٱللَّهَ,الله,Allaha,allh
مَوْلَىٰكُمْ,مولياكم,mawlakum,mwlyakm
نِعْمَ,نعم,niAAma,nam
ٱلْمَوْلَىٰ,الموليا,almawla,almwlya
وَنِعْمَ,ونعم,waniAAma,wnam
ٱلنَّصِيرُ,النصير,alnnaseeru,alnsyr
وَٱعْلَمُوٓا,واعلموا,WaiAAlamoo,waalmwa
أَنَّمَا,انما,annama,anma
غَنِمْتُم,غنمتم,ghanimtum,ghnmtm
مِّن,من,min,mn
شَىْءٍ,شيء,shayin,shya
فَأَنَّ,فان,faanna,fan
لِلَّهِ,لله,lillahi,llh
خُمُسَهُ,خمسه,khumusahu,khmsh
وَلِلرَّسُولِ,وللرسول,walilrrasooli,wllrswl
وَلِذِى,ولذي,walithee,wldhy
ٱلْقُرْبَىٰ,القربيا,alqurba,alqrbya
وَٱلْيَتَٰمَىٰ,واليتاميا,waalyatama,walytamya
وَٱلْمَسَٰكِينِ,والمساكين,waalmasakeeni,walmsakyn
وَٱبْنِ,وابن,waibni,wabn
ٱلسَّبِيلِ,السبيل,alssabeeli,alsbyl
إِن,ان,in,an
كُنتُمْ,كنتم,kuntum,kntm
ءَامَنتُم,ءامنتم,amantum,aamntm
بِٱللَّهِ,بالله,biAllahi,ballh
وَمَآ,وما,wama,wma
أَنزَلْنَا,انزلنا,anzalna,anzlna
عَلَىٰ,عليا,AAala,alya
عَبْدِنَا,عبدنا,AAabdina,abdna
يَوْمَ,يوم,yawma,ywm
ٱلْفُرْقَانِ,الفرقان,alfurqani,alfrqan
يَوْمَ,يوم,yawma,ywm
ٱلْتَقَى,التقي,iltaqa,altqy
ٱلْجَمْعَانِ,الجمعان,aljamAAani,aljmaan
وَٱللَّهُ,والله,waAllahu,wallh
عَلَىٰ,عليا,AAala,alya
كُلِّ,كل,kulli,kl
شَىْءٍ,شيء,shayin,shya
قَدِيرٌ,قدير,qadeerun,qdyr
إِذْ,اذ,Ith,adh
أَنتُم,انتم,antum,antm
بِٱلْعُدْوَةِ,بالعدوه,bialAAudwati,baladwh
ٱلدُّنْيَا,الدنيا,alddunya,aldnya
وَهُم,وهم,wahum,whm
بِٱلْعُدْوَةِ,بالعدوه,bialAAudwati,baladwh
ٱلْقُصْوَىٰ,القصويا,alquswa,alqswya
وَٱلرَّكْبُ,والركب,waalrrakbu,walrkb
أَسْفَلَ,اسفل,asfala,asfl
مِنكُمْ,منكم,minkum,mnkm
وَلَوْ,ولو,walaw,wlw
تَوَاعَدتُّمْ,تواعدتم,tawaAAadtum,twaadtm
لَٱخْتَلَفْتُمْ,لاختلفتم,laikhtalaftum,lakhtlftm
فِى,في,fee,fy
ٱلْمِيعَٰدِ,الميعاد,almeeAAadi,almyaad
وَلَٰكِن,ولاكن,walakin,wlakn
لِّيَقْضِىَ,ليقضي,liyaqdiya,lyqdy
ٱللَّهُ,الله,Allahu,allh
أَمْرًا,امرا,amran,amra
كَانَ,كان,kana,kan
مَفْعُولًا,مفعولا,mafAAoolan,mfawla
لِّيَهْلِكَ,ليهلك,liyahlika,lyhlk
مَنْ,من,man,mn
هَلَكَ,هلك,halaka,hlk
عَن,عن,AAan,an
بَيِّنَةٍ,بينه,bayyinatin,bynh
وَيَحْيَىٰ,ويحييا,wayahya,wyhyya
مَنْ,من,man,mn
حَىَّ,حي,hayya,hy
عَن,عن,AAan,an
بَيِّنَةٍ,بينه,bayyinatin,bynh
وَإِنَّ,وان,wainna,wan
ٱللَّهَ,الله,Allaha,allh
لَسَمِيعٌ,لسميع,lasameeAAun,lsmya
عَلِيمٌ,عليم,AAaleemun,alym
إِذْ,اذ,Ith,adh
يُرِيكَهُمُ,يريكهم,yureekahumu,yrykhm
ٱللَّهُ,الله,Allahu,allh
فِى,في,fee,fy
مَنَامِكَ,منامك,manamika,mnamk
قَلِيلًا,قليلا,qaleelan,qlyla
وَلَوْ,ولو,walaw,wlw
أَرَىٰكَهُمْ,ارياكهم,arakahum,aryakhm
كَثِيرًا,كثيرا,katheeran,kthyra
لَّفَشِلْتُمْ,لفشلتم,lafashiltum,lfshltm
وَلَتَنَٰزَعْتُمْ,ولتنازعتم,walatanazaAAtum,wltnazatm
فِى,في,fee,fy
ٱلْأَمْرِ,الامر,alamri,alamr
وَلَٰكِنَّ,ولاكن,walakinna,wlakn
ٱللَّهَ,الله,Allaha,allh
سَلَّمَ,سلم,sallama,slm
إِنَّهُ,انه,innahu,anh
عَلِيمٌ,عليم,AAaleemun,alym
بِذَاتِ,بذات,bithati,bdhat
ٱلصُّدُورِ,الصدور,alssudoori,alsdwr
وَإِذْ,واذ,Waith,wadh
يُرِيكُمُوهُمْ,يريكموهم,yureekumoohum,yrykmwhm
إِذِ,اذ,ithi,adh
ٱلْتَقَيْتُمْ,التقيتم,iltaqaytum,altqytm
فِىٓ,في,fee,fy
أَعْيُنِكُمْ,اعينكم,aAAyunikum,aaynkm
قَلِيلًا,قليلا,qaleelan,qlyla
وَيُقَلِّلُكُمْ,ويقللكم,wayuqallilukum,wyqllkm
فِىٓ,في,fee,fy
أَعْيُنِهِمْ,اعينهم,aAAyunihim,aaynhm
لِيَقْضِىَ,ليقضي,liyaqdiya,lyqdy
ٱللَّهُ,الله,Allahu,allh
أَمْرًا,امرا,amran,amra
كَانَ,كان,kana,kan
مَفْعُولًا,مفعولا,mafAAoolan,mfawla
وَإِلَى,والي,waila,waly
ٱللَّهِ,الله,Allahi,allh
تُرْجَعُ,ترجع,turjaAAu,trja
ٱلْأُمُورُ,الامور,alomooru,alamwr
وَأَطِيعُوا,واطيعوا,WaateeAAoo,watyawa
ٱللَّهَ,الله,Allaha,allh
وَرَسُولَهُ,ورسوله,warasoolahu,wrswlh
وَلَا,ولا,wala,wla
تَنَٰزَعُوا,تنازعوا,tanazaAAoo,tnazawa
فَتَفْشَلُوا,فتفشلوا,fatafshaloo,ftfshlwa
وَتَذْهَبَ,وتذهب,watathhaba,wtdhhb
رِيحُكُمْ,ريحكم,reehukum,ryhkm
وَٱصْبِرُوٓا,واصبروا,waisbiroo,wasbrwa
إِنَّ,ان,inna,an
ٱللَّهَ,الله,Allaha,allh
مَعَ,مع,maAAa,ma
ٱلصَّٰبِرِينَ,الصابرين,alssabireena,alsabryn
وَلَا,ولا,Wala,wla
تَكُونُوا,تكونوا,takoonoo,tkwnwa
كَٱلَّذِينَ,كالذين,kaallatheena,kaldhyn
خَرَجُوا,خرجوا,kharajoo,khrjwa
مِن,من,min,mn
دِيَٰرِهِم,ديارهم,diyarihim,dyarhm
بَطَرًا,بطرا,bataran,btra
وَرِئَآءَ,ورياء,wariaa,wryaa
ٱلنَّاسِ,الناس,alnnasi,alnas
وَيَصُدُّونَ,ويصدون,wayasuddoona,wysdwn
عَن,عن,AAan,an
سَبِيلِ,سبيل,sabeeli,sbyl
ٱللَّهِ,الله,Allahi,allh
وَٱللَّهُ,والله,waAllahu,wallh
بِمَا,بما,bima,bma
يَعْمَلُونَ,يعملون,yaAAmaloona,yamlwn
مُحِيطٌ,محيط,muheetun,mhyt
وَإِذْ,واذ,Waith,wadh
زَيَّنَ,زين,zayyana,zyn
لَهُمُ,لهم,lahumu,lhm
ٱلشَّيْطَٰنُ,الشيطان,alshshaytanu,alshytan
أَعْمَٰلَهُمْ,اعمالهم,aAAmalahum,aamalhm
وَقَالَ,وقال,waqala,wqal
لَا,لا,la,la
غَالِبَ,غالب,ghaliba,ghalb
لَكُمُ,لكم,lakumu,lkm
ٱلْيَوْمَ,اليوم,alyawma,alywm
مِنَ,من,mina,mn
ٱلنَّاسِ,الناس,alnnasi,alnas
وَإِنِّى,واني,wainnee,wany
جَارٌ,جار,jarun,jar
لَّكُمْ,لكم,lakum,lkm
فَلَمَّا,فلما,falamma,flma
تَرَآءَتِ,تراءت,taraati,traat
ٱلْفِئَتَانِ,الفيتان,alfiatani,alfytan
نَكَصَ,نكص,nakasa,nks
عَلَىٰ,عليا,AAala,alya
عَقِبَيْهِ,عقبيه,AAaqibayhi,aqbyh
وَقَالَ,وقال,waqala,wqal
إِنِّى,اني,innee,any
بَرِىٓءٌ,بريء,bareeon,brya
مِّنكُمْ,منكم,minkum,mnkm
إِنِّىٓ,اني,innee,any
أَرَىٰ,اريا,ara,arya
مَا,ما,ma,ma
لَا,لا,la,la
تَرَوْنَ,ترون,tarawna,trwn
إِنِّىٓ,اني,innee,any
أَخَافُ,اخاف,akhafu,akhaf
ٱللَّهَ,الله,Allaha,allh
وَٱللَّهُ,والله,waAllahu,wallh
شَدِيدُ,شديد,shadeedu,shdyd
ٱلْعِقَابِ,العقاب,alAAiqabi,alaqab
إِذْ,اذ,Ith,adh
يَقُولُ,يقول,yaqoolu,yqwl
ٱلْمُنَٰفِقُونَ,المنافقون,almunafiqoona,almnafqwn
وَٱلَّذِينَ,والذين,waallatheena,waldhyn
فِى,في,fee,fy
قُلُوبِهِم,قلوبهم,quloobihim,qlwbhm
مَّرَضٌ,مرض,maradun,mrd
غَرَّ,غر,gharra,ghr
هَٰٓؤُلَآءِ,هاولاء,haolai,hawlaa
دِينُهُمْ,دينهم,deenuhum,dynhm
وَمَن,ومن,waman,wmn
يَتَوَكَّلْ,يتوكل,yatawakkal,ytwkl
عَلَى,علي,AAala,aly
ٱللَّهِ,الله,Allahi,allh
فَإِنَّ,فان,fainna,fan
ٱللَّهَ,الله,Allaha,allh
عَزِيزٌ,عزيز,AAazeezun,azyz
حَكِيمٌ,حكيم,hakeemun,hkym
وَلَوْ,ولو,Walaw,wlw
تَرَىٰٓ,تريا,tara,trya
إِذْ,اذ,ith,adh
يَتَوَفَّى,يتوفي,yatawaffa,ytwfy
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
ٱلْمَلَٰٓئِكَةُ,الملايكه,almalaikatu,almlaykh
يَضْرِبُونَ,يضربون,yadriboona,ydrbwn
وُجُوهَهُمْ,وجوههم,wujoohahum,wjwhhm
وَأَدْبَٰرَهُمْ,وادبارهم,waadbarahum,wadbarhm
وَذُوقُوا,وذوقوا,wathooqoo,wdhwqwa
عَذَابَ,عذاب,AAathaba,adhab
ٱلْحَرِيقِ,الحريق,alhareeqi,alhryq
ذَٰلِكَ,ذالك,Thalika,dhalk
بِمَا,بما,bima,bma
قَدَّمَتْ,قدمت,qaddamat,qdmt
أَيْدِيكُمْ,ايديكم,aydeekum,aydykm
وَأَنَّ,وان,waanna,wan
ٱللَّهَ,الله,Allaha,allh
لَيْسَ,ليس,laysa,lys
بِظَلَّٰمٍ,بظلام,bithallamin,bzlam
لِّلْعَبِيدِ,للعبيد,lilAAabeedi,llabyd
كَدَأْبِ,كداب,Kadabi,kdab
ءَالِ,ءال,ali,aal
فِرْعَوْنَ,فرعون,firAAawna,frawn
وَٱلَّذِينَ,والذين,waallatheena,waldhyn
مِن,من,min,mn
قَبْلِهِمْ,قبلهم,qablihim,qblhm
كَفَرُوا,كفروا,kafaroo,kfrwa
بِـَٔايَٰتِ,بايات,biayati,bayat
ٱللَّهِ,الله,Allahi,allh
فَأَخَذَهُمُ,فاخذهم,faakhathahumu,fakhdhhm
ٱللَّهُ,الله,Allahu,allh
بِذُنُوبِهِمْ,بذنوبهم,bithunoobihim,bdhnwbhm
إِنَّ,ان,inna,an
ٱللَّهَ,الله,Allaha,allh
قَوِىٌّ,قوي,qawiyyun,qwy
شَدِيدُ,شديد,shadeedu,shdyd
ٱلْعِقَابِ,العقاب,alAAiqabi,alaqab
ذَٰلِكَ,ذالك,Thalika,dhalk
بِأَنَّ,بان,bianna,ban
ٱللَّهَ,الله,Allaha,allh
لَمْ,لم,lam,lm
يَكُ,يك,yaku,yk
مُغَيِّرًا,مغيرا,mughayyiran,mghyra
نِّعْمَةً,نعمه,niAAmatan,namh
أَنْعَمَهَا,انعمها,anAAamaha,anamha
عَلَىٰ,عليا,AAala,alya
قَوْمٍ,قوم,qawmin,qwm
حَتَّىٰ,حتيا,hatta,htya
يُغَيِّرُوا,يغيروا,yughayyiroo,yghyrwa
مَا,ما,ma,ma
بِأَنفُسِهِمْ,بانفسهم,bianfusihim,banfshm
وَأَنَّ,وان,waanna,wan
ٱللَّهَ,الله,Allaha,allh
سَمِيعٌ,سميع,sameeAAun,smya
عَلِيمٌ,عليم,AAaleemun,alym
كَدَأْبِ,كداب,Kadabi,kdab
ءَالِ,ءال,ali,aal
فِرْعَوْنَ,فرعون,firAAawna,frawn
وَٱلَّذِينَ,والذين,waallatheena,waldhyn
مِن,من,min,mn
قَبْلِهِمْ,قبلهم,qablihim,qblhm
كَذَّبُوا,كذبوا,kaththaboo,kdhbwa
بِـَٔايَٰتِ,بايات,biayati,bayat
رَبِّهِمْ,ربهم,rabbihim,rbhm
فَأَهْلَكْنَٰهُم,فاهلكناهم,faahlaknahum,fahlknahm
بِذُنُوبِهِمْ,بذنوبهم,bithunoobihim,bdhnwbhm
وَأَغْرَقْنَآ,واغرقنا,waaghraqna,waghrqna
ءَالَ,ءال,ala,aal
فِرْعَوْنَ,فرعون,firAAawna,frawn
وَكُلٌّ,وكل,wakullun,wkl
كَانُوا,كانوا,kanoo,kanwa
ظَٰلِمِينَ,ظالمين,thalimeena,zalmyn
إِنَّ,ان,Inna,an
شَرَّ,شر,sharra,shr
ٱلدَّوَآبِّ,الدواب,alddawabbi,aldwab
عِندَ,عند,AAinda,and
ٱللَّهِ,الله,Allahi,allh
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
فَهُمْ,فهم,fahum,fhm
لَا,لا,la,la
يُؤْمِنُونَ,يومنون,yuminoona,ywmnwn
ٱلَّذِينَ,الذين,Allatheena,aldhyn
عَٰهَدتَّ,عاهدت,AAahadta,aahdt
مِنْهُمْ,منهم,minhum,mnhm
ثُمَّ,ثم,thumma,thm
يَنقُضُونَ,ينقضون,yanqudoona,ynqdwn
عَهْدَهُمْ,عهدهم,AAahdahum,ahdhm
فِى,في,fee,fy
كُلِّ,كل,kulli,kl
مَرَّةٍ,مره,marratin,mrh
وَهُمْ,وهم,wahum,whm
لَا,لا,la,la
يَتَّقُونَ,يتقون,yattaqoona,ytqwn
فَإِمَّا,فاما,Faimma,fama
تَثْقَفَنَّهُمْ,تثقفنهم,tathqafannahum,tthqfnhm
فِى,في,fee,fy
ٱلْحَرْبِ,الحرب,alharbi,alhrb
فَشَرِّدْ,فشرد,fasharrid,fshrd
بِهِم,بهم,bihim,bhm
مَّنْ,من,man,mn
خَلْفَهُمْ,خلفهم,khalfahum,khlfhm
لَعَلَّهُمْ,لعلهم,laAAallahum,lalhm
يَذَّكَّرُونَ,يذكرون,yaththakkaroona,ydhkrwn
وَإِمَّا,واما,Waimma,wama
تَخَافَنَّ,تخافن,takhafanna,tkhafn
مِن,من,min,mn
قَوْمٍ,قوم,qawmin,qwm
خِيَانَةً,خيانه,khiyanatan,khyanh
فَٱنبِذْ,فانبذ,fainbith,fanbdh
إِلَيْهِمْ,اليهم,ilayhim,alyhm
عَلَىٰ,عليا,AAala,alya
سَوَآءٍ,سواء,sawain,swaa
إِنَّ,ان,inna,an
ٱللَّهَ,الله,Allaha,allh
لَا,لا,la,la
يُحِبُّ,يحب,yuhibbu,yhb
ٱلْخَآئِنِينَ,الخاينين,alkhaineena,alkhaynyn
وَلَا,ولا,Wala,wla
يَحْسَبَنَّ,يحسبن,yahsabanna,yhsbn
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
سَبَقُوٓا,سبقوا,sabaqoo,sbqwa
إِنَّهُمْ,انهم,innahum,anhm
لَا,لا,la,la
يُعْجِزُونَ,يعجزون,yuAAjizoona,yajzwn
وَأَعِدُّوا,واعدوا,WaaAAiddoo,waadwa
